"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 20:05:56 GMT 2023","Mon Jun 19 20:06:07 GMT 2023","11539","","Assertions Demo","","","","Assert check uncheck",""
"passed","Mon Jun 19 20:05:39 GMT 2023","Mon Jun 19 20:05:45 GMT 2023","6210","","Assertions Demo","","",""," CSS Verification",""
"passed","Mon Jun 19 20:06:07 GMT 2023","Mon Jun 19 20:06:09 GMT 2023","1311","","Assertions Demo","","","","Assert empty and property",""
"passed","Mon Jun 19 20:05:37 GMT 2023","Mon Jun 19 20:05:39 GMT 2023","2220","","Assertions Demo","","","","Visibility Check",""
"passed","Mon Jun 19 20:05:29 GMT 2023","Mon Jun 19 20:05:36 GMT 2023","7588","","Assertions Demo","","","","Text equal check",""
"failed","Mon Jun 19 20:05:45 GMT 2023","Mon Jun 19 20:05:56 GMT 2023","10560","","Assertions Demo","","",""," Verify Length , List of Elements",""
